xpos,ypos,velocity,yaw,,yaw,xpos,ypos
33,376,8,-40855,,-28567,2193,736
25,376,8,-40855,,-28567,2185,736
18,376,8,-40855,,-28567,2178,736
10,376,8,-40855,,-28567,2170,736
3,376,8,-40855,,-28567,2163,736
-5,376,8,-40855,,-28567,2155,736
-12,376,8,-40855,,-28567,2148,736
-20,376,8,-40855,,-28567,2140,736
-27,376,8,-40855,,-28567,2133,736
-35,376,8,-40855,,-28567,2125,736
-42,376,8,-40855,,-28567,2118,736
-49,376,8,-40855,,-28567,2111,736
-57,376,8,-40855,,-28567,2103,736
-64,376,8,-40855,,-28567,2096,736
-72,376,8,-40855,,-28567,2088,736
-79,376,8,-40855,,-28567,2081,736
-86,376,8,-40855,,-28567,2074,736
-93,376,8,-40855,,-28567,2067,736
-101,376,8,-40855,,-28567,2059,736
-108,376,8,-40855,,-28567,2052,736
-115,376,8,-40855,,-28567,2045,736
-123,376,8,-40855,,-28567,2037,736
-130,376,8,-40855,,-28567,2030,736
-137,376,8,-40855,,-28567,2023,736
-144,376,8,-40855,,-28567,2016,736
-151,376,8,-40855,,-28567,2009,736
-159,376,8,-40855,,-28567,2001,736
-166,376,8,-40855,,-28567,1994,736
-173,376,8,-40855,,-28567,1987,736
-180,376,8,-40855,,-28567,1980,736
-187,376,8,-40855,,-28567,1973,736
-194,376,8,-40855,,-28567,1966,736
-201,376,8,-40855,,-28567,1959,736
-208,376,8,-40855,,-28567,1952,736
-215,376,8,-40855,,-28567,1945,736
-222,376,8,-40855,,-28567,1938,736
-229,376,8,-40855,,-28567,1931,736
-236,376,7,-40855,,-28567,1924,736
-243,376,8,-40855,,-28567,1917,736
-250,376,8,-40855,,-28567,1910,736
-257,376,8,-40855,,-28567,1903,736
-264,376,8,-40855,,-28567,1896,736
-271,376,8,-40855,,-28567,1889,736
-278,376,8,-40855,,-28567,1882,736
-286,376,8,-40855,,-28567,1874,736
-293,376,8,-40855,,-28567,1867,736
-300,376,8,-40855,,-28567,1860,736
-307,376,8,-40855,,-28567,1853,736
-314,376,8,-40855,,-28567,1846,736
-321,376,8,-40855,,-28567,1839,736
-328,376,8,-40855,,-28567,1832,736
-335,376,8,-40855,,-28567,1825,736
-342,376,8,-40855,,-28567,1818,736
-349,376,8,-40855,,-28567,1811,736
